timestamp_ms,gas,brake,distanceTraveled,speedKmh,normalizedCarPosition,steerAngle,tyreCompound,wheelsPressureFL,wheelsPressureFR,wheelsPressureRL,wheelsPressureRR,tyreTempFL,tyreTempFR,tyreTempRL,tyreTempRR,tyreWearFL,tyreWearFR,tyreWearRL,tyreWearRR,wheelLoadFL,wheelLoadFR,wheelLoadRL,wheelLoadRR
1776175742693,1.0,0.0,1144.955810546875,85.72125244140625,0.32222479581832886,0.05831819027662277,Semislicks (SM),25.930809020996094,26.165058135986328,26.267982482910156,26.410486221313477,31.81755256652832,33.28160858154297,33.924888610839844,34.8155403137207,100.0,100.0,100.0,100.0,3202.91845703125,3360.3232421875,4034.72119140625,4581.19140625
1776175742715,1.0,0.0,1145.73974609375,86.05923461914062,0.3224446475505829,0.06639038771390915,Semislicks (SM),25.931312561035156,26.165782928466797,26.26865577697754,26.411291122436523,31.82070541381836,33.28614807128906,33.929100036621094,34.82057189941406,100.0,100.0,100.0,100.0,3157.07958984375,3235.509765625,4305.7138671875,4491.04345703125
1776175742735,1.0,0.0,1146.16943359375,86.40217590332031,0.3225444257259369,0.07240623235702515,Semislicks (SM),25.931819915771484,26.166486740112305,26.269350051879883,26.412090301513672,31.823871612548828,33.2905387878418,33.933433532714844,34.8255615234375,100.0,100.0,100.0,100.0,3277.48291015625,2857.069580078125,4550.9052734375,4394.74462890625
1776175742754,1.0,0.0,1146.528564453125,86.69567108154297,0.32266518473625183,0.07672425359487534,Semislicks (SM),25.932273864746094,26.167062759399414,26.269954681396484,26.412765502929688,31.826709747314453,33.29413986206055,33.93721389770508,34.82978439331055,100.0,100.0,100.0,100.0,3530.640625,2714.07861328125,4590.76025390625,4201.46728515625
1776175742774,1.0,0.0,1146.9609375,87.02330017089844,0.3227672874927521,0.08053753525018692,Semislicks (SM),25.93282699584961,26.167736053466797,26.270666122436523,26.413537979125977,31.830167770385742,33.29834747314453,33.94165802001953,34.83460998535156,100.0,100.0,100.0,100.0,3754.912109375,2725.652587890625,4793.962890625,3972.73486328125
1776175742797,1.0,0.0,1147.75732421875,87.40402221679688,0.3229912519454956,0.08398866653442383,Semislicks (SM),25.93348503112793,26.168493270874023,26.271509170532227,26.414405822753906,31.834278106689453,33.30308151245117,33.94693374633789,34.84003448486328,100.0,100.0,100.0,100.0,3932.956787109375,2494.988525390625,5095.76171875,3876.10693359375
1776175742819,1.0,0.0,1148.120849609375,87.7371826171875,0.32311469316482544,0.08698917180299759,Semislicks (SM),25.934078216552734,26.16913414001465,26.272254943847656,26.415170669555664,31.83798599243164,33.307090759277344,33.95159149169922,34.84481430053711,100.0,100.0,100.0,100.0,4029.408447265625,2354.151611328125,4993.140625,3913.4326171875
1776175742833,1.0,0.0,1148.5584716796875,87.968017578125,0.32323771715164185,0.08897306025028229,Semislicks (SM),25.934505462646484,26.169591903686523,26.27277946472168,26.415714263916016,31.840660095214844,33.30995178222656,33.95486831665039,34.84821319580078,100.0,100.0,100.0,100.0,4062.590087890625,2358.593505859375,4879.17919921875,3865.319580078125
1776175742855,1.0,0.0,1148.9974365234375,88.28137969970703,0.3233407139778137,0.09208329021930695,Semislicks (SM),25.93511199951172,26.170211791992188,26.273521423339844,26.416460037231445,31.844449996948242,33.313819885253906,33.959503173828125,34.85287094116211,100.0,100.0,100.0,100.0,4194.41943359375,1832.360107421875,5110.77734375,3524.034423828125
1776175742877,1.0,0.0,1149.3642578125,88.59754180908203,0.32346415519714355,0.09497054666280746,Semislicks (SM),25.935739517211914,26.17076873779297,26.27428436279297,26.417194366455078,31.848373413085938,33.317298889160156,33.96428298950195,34.85746383666992,100.0,100.0,100.0,100.0,4401.97021484375,1188.274658203125,5373.0888671875,3514.080322265625
1776175742895,1.0,0.0,1150.174560546875,88.87245178222656,0.3236931264400482,0.09722679853439331,Semislicks (SM),25.9362850189209,26.17124366760254,26.274953842163086,26.417823791503906,31.851778030395508,33.320274353027344,33.96846389770508,34.86140060424805,100.0,100.0,100.0,100.0,4350.95654296875,805.9513549804688,5468.44287109375,3507.883544921875
1776175742920,1.0,0.0,1150.618408203125,89.23370361328125,0.32379865646362305,0.09981655329465866,Semislicks (SM),25.937030792236328,26.171878814697266,26.275846481323242,26.418664932250977,31.8564395904541,33.324241638183594,33.97404098510742,34.86665725708008,100.0,100.0,100.0,100.0,4712.4599609375,695.9474487304688,5381.4765625,3523.023193359375
1776175742933,1.0,0.0,1150.9892578125,89.4531021118164,0.3239242732524872,0.10144109278917313,Semislicks (SM),25.937515258789062,26.17227554321289,26.276397705078125,26.419198989868164,31.859468460083008,33.32672119140625,33.97748565673828,34.869991302490234,100.0,100.0,100.0,100.0,4819.13720703125,883.74072265625,5269.42041015625,3684.078125
1776175742955,1.0,0.0,1151.4354248046875,89.7584457397461,0.32405179738998413,0.10290706157684326,Semislicks (SM),25.938196182250977,26.17283058166504,26.27716064453125,26.41996192932129,31.863727569580078,33.33019256591797,33.98225402832031,34.87476348876953,100.0,100.0,100.0,100.0,4692.35546875,1136.78759765625,5169.0556640625,3906.135986328125
1776175742977,1.0,0.0,1151.80810546875,90.05126953125,0.32415708899497986,0.10323332995176315,Semislicks (SM),25.938875198364258,26.173383712768555,26.27792739868164,26.420711517333984,31.86797523498535,33.333648681640625,33.98704147338867,34.87944412231445,100.0,100.0,100.0,100.0,4976.99462890625,1515.2344970703125,5280.7919921875,3229.47509765625
1776175742996,1.0,0.0,1152.7060546875,90.32877349853516,0.3243921101093292,0.10323332995176315,Semislicks (SM),25.939605712890625,26.173948287963867,26.278701782226562,26.42144203186035,31.872533798217773,33.33717727661133,33.99188232421875,34.88401412963867,100.0,100.0,100.0,100.0,5408.41357421875,1680.9532470703125,5227.7216796875,3277.982666015625
1776175743014,1.0,0.0,1153.0816650390625,90.55738830566406,0.32451871037483215,0.10307017713785172,Semislicks (SM),25.940248489379883,26.174442291259766,26.279367446899414,26.422056198120117,31.87655258178711,33.34026336669922,33.99604797363281,34.88785171508789,100.0,100.0,100.0,100.0,5370.6396484375,1790.02978515625,5413.12939453125,3123.98046875
1776175743035,1.0,0.0,1153.4580078125,90.83248138427734,0.3246264159679413,0.10241800546646118,Semislicks (SM),25.94098472595215,26.175024032592773,26.28017234802246,26.422773361206055,31.88115119934082,33.343902587890625,34.001075744628906,34.892333984375,100.0,100.0,100.0,100.0,5206.2333984375,1771.288818359375,5700.60888671875,3204.0615234375
1776175743054,1.0,0.0,1153.9107666015625,91.06926727294922,0.32475465536117554,0.10144109278917313,Semislicks (SM),25.941619873046875,26.175518035888672,26.280868530273438,26.423391342163086,31.88512420654297,33.34698486328125,34.005428314208984,34.89619445800781,100.0,100.0,100.0,100.0,5424.1318359375,1760.7666015625,5632.4931640625,3173.052490234375
1776175743076,1.0,0.0,1154.36474609375,91.36194610595703,0.32486358284950256,0.09957325458526611,Semislicks (SM),25.942520141601562,26.176176071166992,26.281784057617188,26.424203872680664,31.890745162963867,33.351097106933594,34.01115417480469,34.90127944946289,100.0,100.0,100.0,100.0,5908.6318359375,1649.659912109375,5701.267578125,3022.74169921875
1776175743097,1.0,0.0,1155.2000732421875,91.62773132324219,0.3251028060913086,0.09763067215681076,Semislicks (SM),25.943315505981445,26.17673110961914,26.282625198364258,26.42490577697754,31.89571762084961,33.35456466674805,34.01640319824219,34.90566635131836,100.0,100.0,100.0,100.0,5663.39794921875,1274.1683349609375,6134.9384765625,2827.75634765625
